classic_false_reassurance_mean,engine_false_reassurance_mean,denom_only_false_reassurance_mean,coverage_engine_mean,convergence_mean_abs_diff,n_replications,topic_id,label
0.0,0.0016666666666666666,0.17166666666666663,1.0,0.02740657917519329,50,T01,Clean Control
0.0,0.0016666666666666666,0.22499999999999998,1.0,0.054415967064649184,50,T02,Moderate Publication Bias
0.0,0.0016666666666666666,0.15499999999999997,1.0,0.049366036556814034,50,T03,High Publication Bias
0.0,0.01,0.33,1.0,0.042339326903272044,50,T04,Endpoint-Selective Reporting
0.0,0.0,0.315,1.0,0.04756584773487612,50,T05,Industry-Dominated
0.0,0.01,0.25,1.0,0.10215929600789096,50,T06,Small Trials
0.003333333333333333,0.006666666666666666,0.25666666666666665,1.0,0.07430625422024313,50,T07,High Heterogeneity
0.0,0.006666666666666666,0.13666666666666666,1.0,0.04546132321593991,50,T08,Reversal Stress
0.0,0.0016666666666666666,0.415,1.0,0.0505354983893574,50,T09,Discontinuous Truth
0.0,0.0016666666666666666,0.2733333333333333,1.0,0.06937215662728967,50,T10,Low Trial Count
0.0,0.0016666666666666666,0.01833333333333333,1.0,0.042390852040215955,50,T11,Strong Benefit Signal
0.0,0.003333333333333333,0.3283333333333333,1.0,0.0655125951253498,50,T12,Near-Null Effect
