classic_false_reassurance_mean,engine_false_reassurance_mean,denom_only_false_reassurance_mean,coverage_engine_mean,convergence_mean_abs_diff,n_replications,topic_id,label
0.0,0.041666666666666664,0.20833333333333331,0.9166666666666666,0.020580009624684988,2,T01,Clean Control
0.0,0.041666666666666664,0.5,0.8333333333333333,0.08148804013021146,2,T02,Moderate Publication Bias
0.0,0.0,0.041666666666666664,0.6666666666666666,0.11997154728601858,2,T03,High Publication Bias
0.0,0.08333333333333333,0.33333333333333337,0.7083333333333333,0.057887906579686024,2,T04,Endpoint-Selective Reporting
0.0,0.0,0.08333333333333333,0.6666666666666666,0.07374640813899232,2,T05,Industry-Dominated
0.0,0.0,0.375,0.6666666666666667,0.1093415928851339,2,T06,Small Trials
0.0,0.0,0.25,0.7916666666666667,0.22148653689973258,2,T07,High Heterogeneity
0.0,0.0,0.16666666666666666,0.3333333333333333,0.08006059516090283,2,T08,Reversal Stress
0.041666666666666664,0.041666666666666664,0.375,0.8333333333333334,0.08196180190099446,2,T09,Discontinuous Truth
0.0,0.0,0.2916666666666667,0.375,0.0245824736756564,2,T10,Low Trial Count
0.0,0.0,0.0,0.8333333333333334,0.08515789828370904,2,T11,Strong Benefit Signal
0.0,0.0,0.4166666666666667,0.7083333333333333,0.04397751109088764,2,T12,Near-Null Effect
