di_bias_mean,di_bias_sd,di_coverage,dn_bias_mean,dn_bias_sd,dn_coverage,topic_id,endpoint
0.18794713231524307,2.7755575615628914e-17,0.0,0.06805185984399728,9.813077866773595e-18,1.0,T01,E1
0.18794713231524307,2.7755575615628914e-17,0.0,0.06805185984399728,0.0,1.0,T01,E2
0.17095374804992802,0.016993384265315076,0.0,0.06383699903525034,0.004214860808746942,1.0,T01,E3
0.1566608687617755,0.0071796324673540635,1.0,0.05625092568138884,0.005220658129150721,1.0,T02,E1
0.15288286094136236,0.0050642713738806855,1.0,0.05286430685981326,0.00018755298418401956,1.0,T02,E2
0.17258236489891915,0.004635232583676055,1.0,0.05917544374527524,0.0011235839012779525,1.0,T02,E3
0.14517588483327304,0.007228752518029971,1.0,0.04140548541951205,0.0016463744244852377,1.0,T03,E1
0.10899788590425259,0.018012499597822126,1.0,0.03687264936227431,0.014641470781084888,1.0,T03,E2
0.14535322868766792,0.007245418526632186,1.0,0.04537080953997487,0.00122488561316237,1.0,T03,E3
0.1467459980751824,0.008006488026504444,1.0,0.05040524374939597,0.0019227560651151956,1.0,T04,E1
0.11550778626738084,0.01896520848251542,1.0,0.03979748028221491,0.005041931985029113,1.0,T04,E2
0.13625354551235702,0.0016935868028860185,1.0,0.04063191142558785,0.002419948418409437,1.0,T04,E3
0.10026170649530623,0.017953201837503457,1.0,0.04865845196941065,0.004463343314547778,1.0,T05,E1
0.09789430461767214,0.020052827697570913,1.0,0.048070135485516474,0.004981724358480807,1.0,T05,E2
0.12794713231524305,0.0,1.0,0.05805185984399728,6.938893903907228e-18,1.0,T05,E3
0.14794713231524304,0.0,1.0,0.048051859843997284,0.0,1.0,T06,E1
0.1509567592174085,0.006429868457982074,1.0,0.04844941216041636,0.0019997438051980385,1.0,T06,E2
0.15786223463885612,8.489767638691914e-05,1.0,0.0531552291488937,0.0001033693048964196,1.0,T06,E3
0.13378155219306642,0.019480376630312074,1.0,0.04560113368946418,0.0007336030729962195,1.0,T07,E1
0.14200288734959227,0.015944244965650792,1.0,0.04911832911126073,0.00393353073273655,1.0,T07,E2
0.16780617085435018,0.0001409614608928883,1.0,0.05802848389866593,2.3375945331353953e-05,1.0,T07,E3
0.08368179271089246,0.0,1.0,0.009668748601968993,0.0,1.0,T08,E1
0.07749757280306957,0.006184219907822891,1.0,0.00677150229652166,0.0028972463054473332,1.0,T08,E2
0.12184089635544623,0.008159103644553772,1.0,0.0598343743009845,0.0301656256990155,1.0,T08,E3
0.1591012387998624,0.01115410648461937,1.0,0.06387838502413253,0.015826525180135238,1.0,T09,E1
0.2048391969264761,0.05626499908076485,0.5,0.058581919058936796,0.010271598004943882,1.0,T09,E2
0.16470344675210255,0.0008442921538850401,1.0,0.05579661494358062,1.3786085762100553e-05,1.0,T09,E3
0.1839735661576215,0.026026433842378474,1.0,0.09152592992199865,0.03847407007800136,1.0,T10,E1
0.15794713231524304,0.0,1.0,0.05305185984399728,0.0,1.0,T10,E2
0.16794713231524305,0.0,1.0,0.058051859843997286,0.0,1.0,T10,E3
0.15749907160008908,0.00044806071515397783,1.0,0.05118169123987517,0.0018701686041221119,1.0,T11,E1
0.15794713231524304,1.962615573354719e-17,1.0,0.05305185984399727,0.0,1.0,T11,E2
0.2021179621249647,0.017661228849069885,0.5,0.07287591892992268,0.01060868230282512,1.0,T11,E3
0.13170352297030508,0.006865096140492792,1.0,0.04653073580470537,0.0006226418777784265,1.0,T12,E1
0.1545441514059601,0.006597019090716999,1.0,0.04971512619447523,0.0016632663504779488,1.0,T12,E2
0.17059569551813225,0.012648563202889165,1.0,0.04947862711987277,0.003573232724124499,1.0,T12,E3
